route,t,pax,revenue,records,fare_unweighted,dl,nw,dl_any,nw_any,dl_direct,nw_direct,legacy,direct_pax,distance,unknown_pax,fare,lnfare,direct_share,dl_active,nw_active,legacy_active,both_active,group,pax_pre,fare_pre,direct,distance_pre,treated,yr,qtr
BUF-SAT,4,615,97736.99957275396,26,171.26866149902347,107,84,148,85,0,0,67,52,1433,0,158.9219505248032,5.06841320449808,0.08455284552845528,1,1,1,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2005,4
BUF-SAT,5,463,74656.0005493164,31,173.42725913755356,56,83,72,85,2,5,32,49,1433,0,161.2440616615905,5.08291912809289,0.10583153347732181,1,1,1,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2006,1
BUF-SAT,6,622,116989.0002746582,28,213.69442095075334,73,88,90,88,0,0,69,53,1433,0,188.08520944478812,5.2368951018745395,0.08520900321543408,1,1,1,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2006,2
BUF-SAT,7,661,121419.00058746328,30,197.04106979370115,127,106,185,107,19,0,45,80,1433,0,183.68986473141192,5.213248817761665,0.12102874432677761,1,1,1,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2006,3
BUF-SAT,8,603,101206.00068664548,24,178.09772046407065,150,92,186,92,55,0,41,104,1433,0,167.83748040903063,5.122996132673002,0.1724709784411277,1,1,1,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2006,4
BUF-SAT,9,533,96704.99981689446,25,194.66518920898432,52,104,94,104,21,0,44,50,1433,0,181.43527170149054,5.200898960353541,0.09380863039399624,1,1,1,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2007,1
BUF-SAT,10,465,100112.00027465817,32,242.0437259674072,41,83,70,87,1,0,26,1,1433,0,215.29462424657672,5.3720074353942975,0.002150537634408602,1,1,1,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2007,2
BUF-SAT,11,505,107106.99847412111,25,229.012534790039,36,96,64,96,7,0,12,8,1433,0,212.09306628538835,5.357025170255463,0.015841584158415842,1,1,0,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2007,3
BUF-SAT,12,524,102755.99942016606,26,211.19651794433597,48,77,109,78,0,0,10,118,1433,0,196.09923553466805,5.278620834850327,0.22519083969465647,1,1,0,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2007,4
BUF-SAT,13,431,81555.9994506836,29,213.12285061540274,38,56,90,65,0,0,19,14,1433,0,189.22505673012435,5.242937082997667,0.03248259860788863,1,1,0,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2008,1
BUF-SAT,14,563,109593.99925231928,38,219.4509184987921,41,135,131,136,0,0,23,5,1433,0,194.6607446755227,5.27125827251,0.008880994671403197,1,1,0,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2008,2
BUF-SAT,15,696,131813.99999999994,31,248.2888075305569,76,144,125,145,0,0,42,3,1433,0,189.38793103448268,5.243797456622814,0.004310344827586207,1,1,1,True,overlap,506.75,201.2305494420309,0.08424789797036929,1433.0,1,2008,3
